X,Y
1,4.22474
2,4.26765
3,4.28064
4,4.26211
5,4.25451
6,4.27712
7,4.26601
8,4.23859
9,4.27384
10,4.29824
11,4.25420
12,4.25202
13,4.25629
14,4.26290
15,4.29728
16,4.24621
17,4.24984
18,4.24110
19,4.29157
20,4.26721
21,4.26981
22,4.28583
23,4.27120
24,4.30865
25,4.28489
26,4.27005
27,4.23953
28,4.26085
29,4.25390
30,4.28983
31,4.28660
32,4.30609
33,4.27029
34,4.28243
35,4.30545
36,4.26413
37,4.28623
38,4.29031
39,4.26673
40,4.30009
41,4.25460
42,4.24692
43,4.24278
44,4.27372
45,4.26818
46,4.24301
47,4.24086
48,4.25894
49,4.29029
50,4.24120
51,4.26991
52,4.26215
53,4.27474
54,4.27810
55,4.28728
56,4.24555
57,4.26009
58,4.23897
59,4.27821
60,4.30625
61,4.23780
62,4.29000
63,4.25137
64,4.25818
65,4.27212
66,4.25588
67,4.22848
68,4.26606
69,4.26496
70,4.26205
71,4.27001
72,4.27786
73,4.29672
74,4.26023
75,4.24589
76,4.27035
77,4.27460
78,4.21763
79,4.26110
80,4.28792
81,4.26642
82,4.28191
83,4.23241
84,4.28967
85,4.25351
86,4.25304
87,4.26216
88,4.27081
89,4.25335
90,4.28790
91,4.24198
92,4.27081
93,4.27226
94,4.24801
95,4.24434
96,4.26520
97,4.26915
98,4.24593
99,4.27626
100,4.27143
101,4.25100
102,4.26121
103,4.26252
104,4.23977
105,4.25718
106,4.26744
107,4.25045
108,4.26922
109,4.27109
110,4.23773
111,4.27429
112,4.25289
113,4.25794
114,4.26354
115,4.25392
116,4.23013
117,4.24062
118,4.26571
119,4.23580
120,4.26615
121,4.25527
122,4.25042
123,4.25678
124,4.24638
125,4.24651
126,4.26527
127,4.25943
128,4.25348
129,4.25326
130,4.26448
131,4.28862
132,4.24262
133,4.27137
134,4.27050
135,4.25620
136,4.25452
137,4.29974
138,4.26992
139,4.24958
140,4.27189
141,4.29891
142,4.28066
143,4.27018
144,4.22877
145,4.26578
146,4.23593
147,4.27177
148,4.28154
149,4.25412
150,4.26111
151,4.24298
152,4.24292
153,4.27425
154,4.25232
155,4.24352
156,4.22677
157,4.26326
