X,Y
1,1.051835
2,1.060303
3,1.061865
4,1.064865
5,1.066893
6,1.067211
7,1.066404
8,1.066720
9,1.074592
10,1.077417
11,1.074594
12,1.079186
13,1.073871
14,1.074229
15,1.082002
16,1.083032
17,1.085184
18,1.086654
19,1.092367
20,1.101170
21,1.094404
22,1.094723
23,1.092371
24,1.092870
25,1.096046
26,1.100839
27,1.097776
28,1.095839
29,1.098287
30,1.102583
31,1.101629
32,1.105190
33,1.102400
34,1.106681
35,1.114690
36,1.108794
37,1.109605
38,1.111304
39,1.112035
40,1.107289
41,1.111767
42,1.105443
43,1.103093
44,1.104551
45,1.103697
46,1.107496
47,1.114454
48,1.108724
49,1.110584
50,1.108947
51,1.109956
52,1.109913
53,1.111158
54,1.109391
55,1.106200
56,1.108884
57,1.111957
58,1.112500
59,1.106315
60,1.114224
61,1.110203
62,1.106684
63,1.120522
64,1.117518
65,1.117129
66,1.115396
67,1.114878
68,1.112958
69,1.120425
70,1.113344
71,1.108592
72,1.111893
73,1.115739
74,1.115709
75,1.117657
76,1.114447
77,1.111341
78,1.113378
79,1.111752
80,1.114253
81,1.109769
82,1.108970
83,1.114672
84,1.111869
85,1.117673
86,1.105590
87,1.112170
88,1.111649
89,1.113565
90,1.106480
91,1.105593
92,1.112916
93,1.110136
94,1.108766
95,1.110288
96,1.104667
97,1.112757
98,1.112187
99,1.114155
100,1.115431
101,1.124864
102,1.116748
103,1.113606
104,1.120683
105,1.111638
106,1.109635
107,1.115535
108,1.118215
109,1.119288
110,1.113385
111,1.110918
112,1.109072
113,1.113018
114,1.105832
115,1.108758
116,1.110000
117,1.120027
118,1.107764
119,1.103274
120,1.112955
121,1.110929
122,1.107597
123,1.105724
124,1.108577
125,1.116904
126,1.105054
127,1.116257
128,1.113582
129,1.098207
130,1.104357
131,1.101417
132,1.094476
133,1.115521
134,1.114240
135,1.106897
136,1.108454
137,1.101784
138,1.099546
139,1.112536
140,1.113519
141,1.103852
142,1.116576
143,1.111029
144,1.106298
145,1.107323
146,1.112170
147,1.114535
148,1.104992
149,1.097709
150,1.116621
151,1.110066
152,1.113199
