X,Y
1,3.902
2,3.917
3,4.559
4,3.425
5,4.661
6,2.951
7,2.907
8,2.798
9,2.858
10,2.746
11,2.194
12,2.446
13,2.752
14,2.637
15,2.405
16,3.123
17,2.723
18,2.495
19,2.448
20,2.402
21,2.140
22,2.177
23,2.046
24,2.200
25,2.905
26,2.606
27,2.803
28,2.302
29,2.271
30,2.220
31,2.244
32,2.185
33,2.169
34,2.344
35,2.159
36,2.197
37,3.122
38,2.218
39,2.182
40,3.307
41,4.642
42,2.048
43,2.330
44,2.443
45,2.885
46,2.997
47,2.386
48,2.352
49,2.531
50,2.445
51,2.341
52,2.699
53,2.415
54,2.619
55,2.394
56,2.485
57,2.387
58,2.301
59,2.556
60,2.611
61,2.320
62,2.498
63,3.624
64,2.310
65,3.025
66,2.405
67,3.169
68,2.148
69,3.396
70,2.170
71,2.296
72,2.433
73,2.461
74,2.439
75,2.302
76,2.492
77,2.430
78,2.413
79,2.327
80,2.415
81,2.412
82,2.552
83,2.449
84,2.799
85,2.939
86,3.751
87,3.472
88,2.751
89,3.791
90,2.467
91,2.520
92,2.676
93,2.548
94,2.684
95,2.146
96,2.517
97,2.282
98,2.339
99,2.377
100,3.081
101,2.542
102,2.469
103,2.568
104,2.361
105,3.940
106,2.106
107,2.547
108,2.458
109,2.458
110,2.472
111,2.514
112,2.711
113,3.485
114,2.508
115,2.340
116,2.403
117,2.056
118,2.355
119,2.540
120,3.385
121,2.323
122,2.413
123,2.364
124,2.302
125,2.775
126,3.816
127,2.237
128,2.251
129,2.359
130,2.277
131,2.247
132,2.817
133,2.294
134,3.676
135,2.303
136,3.654
137,2.305
138,2.419
139,2.297
140,2.144
141,3.264
142,2.236
143,3.524
144,2.529
145,2.178
146,3.078
147,2.425
148,2.821
149,2.627
150,3.340
151,2.290
152,2.479
153,2.209
154,2.945
155,2.557
156,3.084
157,2.403
158,2.129
159,3.314
160,2.090
161,2.071
162,2.459
163,2.073
164,2.128
165,2.187
166,2.024
167,2.075
168,2.254
169,2.022
170,2.627
171,2.225
172,2.549
173,2.272
174,2.260
175,3.199
176,1.826
177,2.038
178,2.094
179,1.959
180,1.982
181,2.197
182,2.104
183,2.138
184,1.801
185,1.864
186,2.221
187,1.944
188,2.231
189,1.947
190,2.698
191,1.990
192,2.046
193,1.961
194,2.071
195,1.992
196,1.962
197,2.036
198,1.982
199,2.985
200,1.978
201,3.202
202,1.999
203,2.222
204,2.142
205,3.345
206,2.208
207,2.083
208,3.161
209,1.882
210,2.025
211,1.936
212,2.340
213,2.920
214,1.923
215,1.898
216,1.946
217,1.958
218,1.872
219,1.855
220,1.881
221,2.082
222,3.016
223,1.937
224,1.929
225,1.803
226,2.999
227,1.945
228,1.978
229,1.919
230,2.157
231,2.085
232,1.935
233,2.962
234,2.030
235,1.862
236,1.877
237,2.905
238,2.884
239,1.851
240,2.884
241,2.050
242,2.314
243,3.007
244,1.997
245,2.050
246,1.841
247,1.776
248,1.890
249,1.804
250,3.136
251,1.979
252,1.780
253,1.812
254,1.844
255,1.827
256,1.864
257,1.857
258,1.779
259,1.845
260,1.735
261,2.224
262,1.688
263,1.970
264,1.697
265,3.042
266,2.176
267,1.643
268,1.615
269,1.656
270,1.988
271,3.332
272,1.748
273,1.752
274,1.892
275,2.033
276,1.730
277,1.819
278,1.494
279,1.894
280,1.512
281,2.961
282,1.760
283,1.739
284,1.427
285,1.803
286,1.668
287,1.822
288,1.713
289,1.728
290,1.744
291,1.670
292,1.908
293,1.750
294,1.832
295,1.873
296,1.639
297,2.028
298,2.769
299,1.820
300,2.062
301,1.362
302,2.504
303,1.779
304,1.852
305,1.708
306,2.106
307,1.706
308,2.093
309,3.009
310,1.786
311,1.423
312,3.025
313,1.688
314,1.630
315,1.620
316,1.829
317,1.724
318,1.732
319,2.738
320,1.899
321,1.699
322,1.769
323,1.688
324,1.509
325,1.605
326,1.573
327,1.856
328,2.641
329,1.669
330,1.909
331,1.921
332,1.662
333,1.818
334,1.895
335,2.705
336,3.716
337,3.231
338,1.629
339,1.855
340,2.766
341,2.821
342,1.770
343,1.623
344,1.549
345,1.575
346,1.165
347,1.620
348,3.189
349,4.182
350,2.768
351,2.001
352,1.872
353,1.527
354,1.594
355,1.611
356,2.152
357,1.633
358,2.072
359,1.567
360,2.484
361,1.639
362,3.612
363,1.554
364,1.679
365,1.677
366,2.025
367,1.810
368,3.723
369,1.659
370,1.532
371,1.535
372,1.485
373,1.515
374,1.525
375,1.635
376,2.697
377,1.493
378,1.530
379,1.935
380,1.513
381,1.661
382,2.155
383,1.681
384,1.478
385,2.346
386,1.621
387,1.863
388,1.445
389,1.794
390,1.796
391,1.547
392,2.889
393,1.798
394,1.755
395,1.866
396,1.499
397,2.426
398,1.856
399,2.039
400,1.700
401,1.584
402,1.559
403,1.596
404,1.740
405,1.568
406,1.508
407,1.599
408,3.621
409,2.858
410,1.591
411,3.045
412,1.548
413,1.485
414,1.594
415,1.520
416,1.582
417,1.922
418,1.449
419,2.851
420,1.960
421,1.478
422,1.517
423,1.833
424,1.623
425,2.554
426,1.710
427,1.475
428,1.585
429,1.754
430,1.739
431,2.015
432,1.274
433,1.577
434,1.969
435,1.490
436,1.445
437,1.223
438,1.239
439,1.555
440,1.437
441,1.745
442,1.454
443,1.544
444,1.513
445,2.599
446,1.427
447,1.820
448,1.780
449,1.707
450,1.586
451,1.467
452,1.858
453,1.576
454,1.945
455,2.161
456,1.339
457,1.509
458,1.419
459,1.580
460,1.291
461,1.678
462,1.508
463,1.599
464,2.034
465,1.667
466,1.448
467,1.531
468,1.484
469,1.443
470,1.540
471,1.410
472,1.955
473,1.117
474,2.040
475,1.499
476,1.654
477,2.539
478,1.498
479,1.387
480,2.083
481,1.403
482,1.392
483,1.483
484,1.529
485,1.661
486,1.583
487,1.508
488,1.622
489,1.482
490,1.415
491,1.454
492,1.511
493,2.118
494,2.510
495,1.453
496,2.114
497,1.582
498,1.474
499,3.860
500,1.863
501,1.692
502,1.344
503,1.425
504,1.923
505,1.385
506,2.678
507,1.642
508,1.348
509,1.417
510,1.502
511,1.532
512,2.568
513,1.858
514,1.402
515,1.431
516,1.449
517,1.594
518,1.517
519,1.425
520,1.586
521,2.094
522,1.571
523,2.225
524,1.591
525,1.523
526,1.188
527,1.498
528,1.364
529,1788.642
530,1.539
531,1.518
532,1.527
533,2.734
534,1.371
535,1.333
536,1.531
537,2.034
538,1.642
539,1.556
540,1.333
