X,Y
1,0.923258
2,0.931873
3,0.935671
4,0.934301
5,0.935024
6,0.935410
7,0.934090
8,0.939364
9,0.940884
10,0.950077
11,0.949119
12,0.945797
13,0.948514
14,0.949324
15,0.947343
16,0.952037
17,0.961248
18,0.958061
19,0.962644
20,0.969314
21,0.972043
22,0.972638
23,0.966733
24,0.967672
25,0.979458
26,0.983688
27,0.985123
28,0.989190
29,0.992406
30,0.991587
31,1.002081
32,1.008220
33,1.007623
34,1.013025
35,1.016215
36,1.017244
37,1.014818
38,1.023135
39,1.024600
40,1.022905
41,1.023558
42,1.016832
43,1.015797
44,1.013961
45,1.025929
46,1.023378
47,1.025965
48,1.027506
49,1.025809
50,1.033318
51,1.030973
52,1.042794
53,1.038365
54,1.036524
55,1.046921
56,1.048859
57,1.051199
58,1.069172
59,1.068084
60,1.071586
61,1.068560
62,1.065912
63,1.067799
64,1.074427
65,1.077099
66,1.079209
67,1.085104
68,1.090165
69,1.094213
70,1.090547
71,1.087386
72,1.093703
73,1.095287
74,1.092743
75,1.097888
76,1.097853
77,1.098795
78,1.106286
79,1.090011
80,1.103356
81,1.095125
82,1.108229
83,1.106767
84,1.101323
85,1.098961
86,1.102520
87,1.095300
88,1.100857
89,1.106617
90,1.111331
91,1.105100
92,1.120655
93,1.120465
94,1.117267
95,1.109132
96,1.123373
97,1.119657
98,1.119675
99,1.115610
100,1.120444
101,1.126753
102,1.118851
103,1.116291
104,1.109941
105,1.122847
106,1.132208
107,1.115028
108,1.130556
109,1.131655
110,1.123504
111,1.131038
112,1.121190
113,1.130422
114,1.129200
115,1.126641
116,1.137213
117,1.120373
118,1.131002
119,1.123439
120,1.142790
121,1.136779
122,1.131823
123,1.132505
124,1.144374
125,1.138595
126,1.134208
127,1.140294
128,1.142364
129,1.139152
130,1.144085
131,1.145433
132,1.135712
133,1.137042
134,1.139298
135,1.142983
136,1.139960
137,1.145937
138,1.139420
139,1.146077
140,1.148531
141,1.137382
142,1.152196
143,1.142542
144,1.153474
145,1.149767
146,1.139825
147,1.138833
148,1.146499
149,1.129437
150,1.156551
151,1.138921
152,1.142808
153,1.136778
154,1.142438
155,1.141618
156,1.139110
157,1.135555
158,1.138073
159,1.137250
160,1.157800
161,1.151030
162,1.142545
163,1.141795
164,1.144004
165,1.136348
166,1.133509
167,1.156546
168,1.144364
169,1.150950
170,1.129203
171,1.133748
172,1.137037
173,1.151599
174,1.140526
175,1.129149
176,1.147722
177,1.141486
178,1.148045
179,1.142832
180,1.123940
181,1.132472
182,1.141825
183,1.145901
184,1.133798
185,1.137395
186,1.126892
187,1.123564
188,1.137267
189,1.136096
190,1.131641
191,1.152398
192,1.138740
193,1.115151
194,1.119845
195,1.132033
196,1.138733
197,1.129580
198,1.137316
199,1.114527
200,1.137591
201,1.141571
202,1.134259
203,1.123228
204,1.120220
205,1.116212
206,1.120577
207,1.123053
208,1.126815
209,1.121316
210,1.120188
211,1.127605
212,1.118581
213,1.107249
214,1.117422
215,1.114183
216,1.112717
217,1.119133
218,1.117572
219,1.124065
220,1.112007
221,1.133234
222,1.107418
223,1.115121
224,1.101027
225,1.099348
226,1.104953
227,1.112226
228,1.117477
229,1.090429
230,1.099497
231,1.108876
232,1.101679
233,1.104719
234,1.104682
235,1.103733
236,1.110340
237,1.104872
238,1.091010
239,1.097867
240,1.094135
241,1.101488
242,1.103388
243,1.108343
244,1.096802
245,1.093859
246,1.087737
247,1.084599
248,1.097819
249,1.098905
250,1.084627
251,1.090493
252,1.095489
253,1.098609
254,1.083262
255,1.089235
256,1.083377
257,1.082151
258,1.071963
259,1.052633
260,1.061772
261,1.057194
262,1.052380
263,1.049777
264,1.039464
265,1.025324
266,1.023568
267,1.031425
268,1.046916
269,1.053285
270,1.056919
271,1.052126
272,1.068894
273,1.061178
274,1.063638
275,1.068389
276,1.072986
277,1.065886
278,1.077893
279,1.065971
280,1.068340
281,1.066572
282,1.067152
283,1.068578
284,1.076630
285,1.072955
286,1.067061
287,1.078378
288,1.072876
289,1.068635
290,1.060593
291,1.085008
292,1.072335
293,1.062282
294,1.073939
295,1.068369
296,1.065862
297,1.074534
298,1.067183
299,1.063477
300,1.051345
301,1.068877
302,1.057299
303,1.062514
304,1.059057
305,1.063402
306,1.062802
307,1.061700
308,1.070835
309,1.074782
310,1.066834
311,1.069205
312,1.052650
313,1.058329
314,1.056231
315,1.058735
316,1.062753
317,1.070121
318,1.063868
319,1.070016
320,1.072927
321,1.069971
322,1.068707
323,1.053155
324,1.062737
325,1.051613
326,1.043436
327,1.053480
328,1.069389
329,1.063884
330,1.052611
331,1.046685
332,1.043713
333,1.048251
334,1.066131
335,1.044780
336,1.042194
337,1.042445
338,1.048134
339,1.055068
340,1.051151
341,1.041250
342,1.040367
343,1.046695
344,1.053460
345,1.041750
346,1.043542
347,1.052485
348,1.043175
349,1.043611
350,1.032467
351,1.045457
352,1.048294
353,1.044055
354,1.036445
355,1.045203
356,1.038078
357,1.026364
358,1.040858
359,1.039006
360,1.043172
361,1.043103
362,1.040667
363,1.049630
364,1.043410
365,1.044928
366,1.051153
367,1.042640
368,1.033531
369,1.049798
370,1.042326
371,1.038895
372,1.023834
373,1.023108
374,1.024306
375,1.033093
376,1.026066
377,1.031299
378,1.009829
379,1.032330
380,1.031326
381,1.036270
382,1.038103
383,1.027058
384,1.036475
385,1.038444
386,1.033306
387,1.032103
388,1.021448
389,1.020960
390,1.020028
391,1.038135
392,1.034214
393,1.019858
394,1.020944
395,1.022326
396,1.020983
397,1.026991
398,1.034487
399,1.023869
400,1.035993
401,1.036728
402,1.018714
403,1.032683
404,1.031432
405,1.016997
406,1.016853
407,1.019054
408,1.019945
409,1.023605
410,1.020749
411,1.023825
412,1.023078
413,1.026483
414,1.019251
415,1.027069
416,1.025210
417,1.029471
418,1.027629
419,1.015657
420,1.029106
421,1.029745
422,1.022817
423,1.001308
424,0.984101
425,0.992829
426,1.007026
427,1.009510
428,1.011277
429,1.029637
430,1.024683
431,1.012790
432,1.027313
433,1.015874
434,1.014806
435,1.023790
436,1.020971
437,1.030597
438,1.035731
439,1.022595
440,1.019729
441,1.020808
442,1.026015
443,1.016843
444,1.008228
445,1.009536
446,1.015246
447,1.017445
448,1.025973
449,1.014039
450,1.011058
451,1.023361
452,1.032076
453,1.014613
