E_eV,alpha,beta,fraction,t0,norm_factor
1.0,1.3201611940897484,0.19087367422726764,0.25858488857583906,1.2392710709129062,3.526934853601369
1.122,1.3665883144316981,0.18071367277147754,0.242742416626747,1.1675868649162924,3.3050422609726438
1.2589,1.4386077100410566,0.19141889117312516,0.2447077062673787,1.0962678540288329,3.0723457334841893
1.4125,1.5967895971976076,0.24532960222089173,0.27869322210264025,1.0693286957797932,2.912191591379394
1.5849,1.6096206871349128,0.2052190990293401,0.2355215278611934,0.9890885372646541,2.7972444906791445
1.7783,1.7703906929174484,0.24554991871253207,0.2569446616110692,0.9666784940026718,2.5015145764048046
1.9953,1.8653513815124434,0.2486042799428856,0.2413620673149362,0.9153152414234111,2.427357307964772
2.2387,1.9954674939644956,0.26408301381548704,0.25057021266180557,0.8660262368525062,2.252183648234465
2.5119,2.059225742434463,0.21457270279066964,0.21206910635159376,0.8128022691500592,2.0948525758471654
2.8184,2.1708406924784738,0.272909978119793,0.22816659080334306,0.7691217514110171,2.0360675711707095
3.1623,2.247528153285031,0.2992771694692009,0.24638747205137573,0.7231814333835573,2.0090278674949467
3.5481,2.3637272377548135,0.32471792526183263,0.24932882330819617,0.6822819115997891,1.9068506168130552
3.9811,2.4977964683768574,0.3265244672367751,0.24745138533420713,0.646808215139546,1.8215167748372005
4.4668,2.675323371330365,0.37894941954449646,0.25325874362408535,0.6216873085628416,1.732478726566507
5.0119,2.7528768365489276,0.34548673885751,0.23280010412361313,0.5877127206621591,1.624064261575803
5.6234,2.9593944775265104,0.38772567947884307,0.24178126853386,0.5573006416250414,1.5164190947236618
6.3096,3.218658406743561,0.4361938061885495,0.24519270965487222,0.5330859338528682,1.4206577000317102
7.0795,3.261976049933578,0.41323428126789796,0.23679402761156104,0.49902463342698766,1.3493403968075954
7.9433,3.4843276599915827,0.44660519847364744,0.2323139372140285,0.4763794917337727,1.2894100649642586
8.9125,3.6729592265298985,0.4568309707054441,0.2329673385193805,0.4546018150993236,1.2002401814505532
10.0,3.8540085564054327,0.4628727575235281,0.22665264702350424,0.4290558253841592,1.131435639599236
11.22,4.108835010640275,0.5244972908840018,0.23292815652887466,0.4093421649002238,1.0943039728850703
12.589,4.296226120359552,0.49133057051623963,0.21749720270773465,0.3896129405940485,0.9900026220145373
14.125,4.53182179985708,0.5465721721370409,0.2197975894272287,0.36708373031387076,0.9706291200635402
15.849,4.827153189859095,0.5696734120621749,0.21843685736715518,0.3499048258706339,0.9049007261671027
17.783,5.110358282817781,0.5897170329886592,0.21464527149619334,0.33279830222805895,0.8737738462215832
19.953,5.40465553508414,0.6537308157327426,0.22232222246014777,0.3174547811348083,0.8142453406298191
22.387,5.709794853949105,0.6582377292940722,0.21042365302069932,0.30036928752276815,0.7693721413705095
25.119,5.776583461958045,0.6774425786718874,0.21085706512718927,0.28285838318378276,0.7584079846440048
28.184,6.11576832654889,0.7403154556116465,0.21692703389743928,0.2679559016255828,0.7293605864075274
31.623,6.3965986641904795,0.7649009886543923,0.21585189956440237,0.2527505987346612,0.6963879582989838
35.481,6.82521087167463,0.8219370677710858,0.21721366533506387,0.244624955088798,0.6526381019839178
39.811,7.132639805489223,0.8782152084230821,0.22621289455968524,0.23067463546437406,0.6315510509758622
44.668,7.5355179883216135,0.8893140087546247,0.21736755389558898,0.22119575450640694,0.5878229308192648
50.119,7.923749356195589,0.9667494813252997,0.22299275975601202,0.20893775842746543,0.5752282895400855
56.234,8.266049916835273,1.0094457425380754,0.2170878649803925,0.19862992348999353,0.5371862633528692
63.096,8.641333483759066,1.0717368409051198,0.21667469367374181,0.18784595812155858,0.5198619529953774
70.795,9.058451042050415,1.104085319236905,0.21872002144254377,0.18010648788072237,0.502957283333491
79.433,9.479191893749453,1.121514287401899,0.20685260528676486,0.16991458617534927,0.47273122868522055
89.125,10.020192446036356,1.2541171846844568,0.22070235924537557,0.162840989504337,0.4503421230185922
100.0,10.510786315526857,1.3070586148299035,0.2191081446132152,0.15480560318491432,0.427160891083862
112.2,11.055343156879475,1.326538121322105,0.21641448660062662,0.14804690966219725,0.39973475121488633
125.89,11.690150183865612,1.4707387045760112,0.22299062461395458,0.14138323576738165,0.3872155041260199
141.25,12.296250809585594,1.5608050930679185,0.22625057659673103,0.13461152682467614,0.3713046611285018
158.49,12.839111955152065,1.6252166275871893,0.22357962557435124,0.12863271469762516,0.35362387400066675
177.83,13.441987852545466,1.7831245050420352,0.22946226418512367,0.12172194650947876,0.3406206719374527
199.53,14.263830860390136,1.8464650395889848,0.23045407919879907,0.11751655574528508,0.32010813710792063
223.87,14.794866718199458,1.929188288523792,0.22954680078308515,0.11140022520943704,0.30727908710361773
251.19,15.44980100716531,2.0193197089074344,0.2273592950307215,0.10569062316175049,0.2912367711006112
281.84,16.157420728308004,2.0669678965415352,0.22939684205589544,0.10155229483172157,0.28319469021032084
316.23,17.10828647473236,2.4528878163025714,0.24140196298853733,0.09659202549119783,0.269956015080941
354.81,17.785742238867137,2.4373754469361275,0.23269743000849963,0.09289502639863834,0.26019203850272166
398.11,18.674229980467185,2.680519613235294,0.2433825410448035,0.08875044846355373,0.24712440867370367
446.68,19.94767650407008,3.0653487756471307,0.2593560927451398,0.0856966136848869,0.2353844781510177
