X,Y,Y,Y
1,1.008444535,1.020442,1.011897
2,1.011038556,1.02436,1.013176
3,1.013291091,1.028913,1.015417
4,1.015190401,1.032005,1.016563
5,1.013669341,1.029736,1.01585
6,1.014684926,1.028924,1.014033
7,1.016247519,1.031164,1.014678
8,1.015004824,1.032131,1.016873
9,1.012268077,1.027279,1.014829
10,1.010325542,1.022112,1.011666
11,1.011440804,1.022951,1.01138
12,1.011538367,1.025007,1.013315
13,1.014767866,1.029001,1.014026
14,1.013899876,1.029154,1.015045
15,1.015033035,1.029615,1.014366
16,1.017252343,1.033447,1.01592
17,1.020196182,1.0362,1.015687
18,1.021979922,1.040303,1.017929
19,1.02247043,1.040379,1.017515
20,1.018122741,1.033081,1.014692
21,1.017277137,1.032519,1.014983
22,1.016853528,1.030397,1.013319
23,1.018215881,1.032085,1.013621
24,1.015515509,1.029947,1.014211
25,1.015383309,1.028036,1.012461
26,1.018049335,1.029988,1.011727
27,1.018923739,1.032291,1.013119
28,1.019237491,1.032298,1.012814
29,1.021448542,1.034662,1.012936
30,1.019922827,1.033498,1.01331
31,1.019978906,1.034789,1.01452
32,1.022495691,1.036282,1.013483
33,1.022059839,1.036013,1.013652
34,1.024465793,1.036534,1.01178
35,1.024182202,1.038743,1.014217
36,1.02527275,1.038995,1.013384
37,1.026761184,1.038955,1.011876
38,1.029514296,1.041015,1.011171
39,1.026066384,1.037821,1.011456
40,1.024501375,1.03611,1.011331
41,1.024471714,1.036959,1.012189
42,1.025947047,1.037135,1.010905
43,1.028687933,1.040129,1.011122
44,1.028974846,1.040664,1.01136
45,1.027043193,1.038847,1.011493
46,1.02214422,1.034643,1.012228
47,1.020517652,1.033268,1.012494
48,1.021633235,1.033759,1.011869
49,1.01935254,1.030122,1.010565
50,1.017399051,1.026635,1.009078
51,1.017274385,1.026144,1.008719
52,1.018069542,1.024631,1.006445
53,1.013185245,1.020697,1.007414
54,1.015706427,1.023051,1.007231
55,1.016212528,1.021758,1.005457
56,1.014507574,1.02181,1.007198
57,1.014343798,1.020369,1.00594
58,1.014305178,1.019894,1.00551
59,1.015204578,1.020374,1.005092
60,1.011332669,1.017966,1.006559
61,1.0171237,1.021834,1.004631
62,1.014724212,1.020085,1.005283
63,1.015153459,1.020817,1.005579
64,1.017070901,1.021724,1.004575
