X,Y
1,1.099501
2,1.105008
3,1.100418
4,1.099625
5,1.106096
6,1.111779
7,1.105764
8,1.103072
9,1.104886
10,1.106118
11,1.108995
12,1.104069
13,1.109054
14,1.114815
15,1.118810
16,1.114526
17,1.113523
18,1.121620
19,1.118156
20,1.120652
21,1.111437
22,1.122953
23,1.116898
24,1.114163
25,1.118899
26,1.107051
27,1.115582
28,1.112465
29,1.120387
30,1.127754
31,1.129792
32,1.122671
33,1.129375
34,1.119886
35,1.119107
36,1.124312
37,1.120473
38,1.122985
39,1.119814
40,1.127499
41,1.119094
42,1.126535
43,1.127103
44,1.146208
45,1.136275
46,1.129990
47,1.128368
48,1.119060
49,1.130479
50,1.133288
51,1.126420
52,1.112599
53,1.129806
54,1.118131
55,1.112138
56,1.115403
57,1.108554
58,1.118629
59,1.126078
60,1.097806
61,1.092581
62,1.111476
63,1.126918
64,1.126610
65,1.109801
66,1.100470
67,1.125380
68,1.116109
69,1.128975
70,1.105007
71,1.112308
72,1.121358
73,1.120866
74,1.132019
75,1.117275
76,1.113753
77,1.128835
78,1.142636
79,1.122555
80,1.111088
81,1.108954
82,1.126873
83,1.121360
84,1.123026
85,1.134294
86,1.108127
87,1.122789
88,1.121495
89,1.145775
90,1.137394
91,1.118901
92,1.127219
93,1.145931
94,1.125773
95,1.134585
96,1.123588
97,1.131345
98,1.114164
99,1.133756
100,1.112889
101,1.117612
102,1.128154
103,1.126392
104,1.129068
105,1.129906
106,1.128646
107,1.108197
108,1.117008
109,1.117732
110,1.116560
111,1.109263
112,1.140549
113,1.126191
114,1.123671
115,1.109528
116,1.108567
117,1.116126
118,1.120431
119,1.111723
120,1.117258
121,1.122943
122,1.099094
123,1.118354
124,1.106488
125,1.121998
126,1.133063
127,1.120868
128,1.109264
129,1.110825
130,1.116417
131,1.115162
132,1.123477
133,1.124462
134,1.116490
135,1.123320
136,1.120010
137,1.096676
138,1.097440
139,1.123957
140,1.129644
141,1.105495
142,1.115805
143,1.118311
144,1.133968
145,1.098249
146,1.107397
147,1.116378
148,1.128850
149,1.108360
150,1.109542
151,1.106488
152,1.121575
153,1.130127
154,1.126343
155,1.122120
156,1.113598
157,1.106580
158,1.113205
159,1.120438
160,1.116513
161,1.113588
162,1.113203
163,1.114263
164,1.131372
165,1.128300
166,1.112547
167,1.110531
168,1.117292
169,1.133497
170,1.123211
171,1.101558
172,1.116882
173,1.105371
174,1.119316
175,1.115577
176,1.113775
177,1.111536
178,1.093669
179,1.109455
180,1.109124
181,1.125142
182,1.123855
183,1.109986
184,1.122377
185,1.129759
186,1.116919
187,1.120829
188,1.111765
189,1.113522
190,1.124927
191,1.135663
192,1.125313
193,1.119161
194,1.127128
195,1.119310
196,1.117685
197,1.126418
198,1.119465
199,1.110222
200,1.125860
201,1.110527
202,1.124215
203,1.127793
204,1.118311
205,1.109269
206,1.104954
207,1.096646
208,1.105526
209,1.115948
210,1.120529
211,1.141666
212,1.114516
213,1.119352
214,1.132060
215,1.120338
216,1.133793
217,1.114077
218,1.120969
219,1.129679
220,1.112663
221,1.119454
222,1.122301
223,1.098390
224,1.120325
225,1.117050
226,1.117287
227,1.114635
228,1.131141
229,1.129924
230,1.129715
231,1.117568
232,1.155600
233,1.141512
234,1.126340
235,1.108717
236,1.128103
237,1.106694
238,1.124506
239,1.116552
240,1.138292
241,1.109518
242,1.128213
243,1.116984
244,1.127481
245,1.108531
246,1.112400
247,1.124702
248,1.094451
249,1.103935
250,1.115973
251,1.121168
252,1.126299
253,1.096113
254,1.115522
255,1.131360
256,1.124025
257,1.153764
258,1.116636
259,1.117013
260,1.111692
261,1.119285
262,1.082514
263,1.112837
264,1.124391
265,1.124824
266,1.133699
267,1.105287
268,1.130580
269,1.133397
270,1.129626
271,1.137946
272,1.128949
273,1.105003
274,1.112138
275,1.116242
276,1.123854
277,1.112161
278,1.139552
279,1.112192
280,1.110596
281,1.143357
282,1.127413
283,1.150503
284,1.129572
285,1.122676
286,1.117008
287,1.104554
288,1.146654
289,1.113574
290,1.118551
291,1.100605
292,1.101579
293,1.151263
294,1.107157
