## section 2 key
## There are 221  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  7.5028e+01   1.0000e-05   0.0000e+00   0.0000e+00 
  7.9983e+01   1.0000e-05   0.0000e+00   0.0000e+00 
  8.5266e+01   1.0000e-05   0.0000e+00   0.0000e+00 
  9.0898e+01   1.0000e-05   0.0000e+00   0.0000e+00 
  9.6902e+01   1.0000e-05   0.0000e+00   0.0000e+00 
  1.0330e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.1013e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.1740e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.2515e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.3342e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.4223e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.5163e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.6164e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.7232e+02   1.0000e-05   3.0783e+08   3.0783e+08 
  1.8370e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  1.9583e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  2.0877e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  2.2256e+02   1.0000e-05   8.3545e+06   8.3545e+06 
  2.3726e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  2.5293e+02   1.0000e-05   0.0000e+00   0.0000e+00 
  2.6964e+02   1.0000e-05   2.4086e+07   1.7528e+07 
  2.8745e+02   1.0000e-05   2.0352e+08   1.8541e+08 
  3.0643e+02   1.0000e-05   1.5710e+07   1.5710e+07 
  3.2667e+02   1.0000e-05   1.4191e+04   1.1305e+04 
  3.4825e+02   1.0000e-05   3.4257e+08   3.3866e+08 
  3.7125e+02   1.0000e-05   2.2234e+09   7.7284e+08 
  3.9577e+02   1.0000e-05   3.5553e+08   2.5328e+08 
