X,Y
1,36.1626
2,33.9869
3,30.9703
4,28.7952
5,26.0678
6,24.1414
7,22.3143
8,23.8941
9,23.3141
10,21.0590
11,18.9472
12,19.1821
13,19.5544
14,19.0585
15,20.1900
16,20.2676
17,19.3782
18,18.4363
19,17.5629
20,16.6556
21,16.1031
22,16.5100
23,17.0562
24,17.3442
25,17.6908
26,17.3568
27,16.8958
28,16.4947
29,16.2061
30,15.9177
31,15.6239
32,15.3941
33,15.2076
34,15.1110
35,15.0913
36,15.1663
37,15.2469
38,15.1738
39,15.1753
40,15.3080
41,15.6230
42,16.1050
43,16.6427
44,17.0252
45,17.3046
46,17.4378
47,17.4901
48,17.5856
49,17.6727
50,17.6860
51,17.6036
52,17.5354
53,17.5272
54,17.5855
55,17.5958
56,17.5900
57,17.5946
58,17.5112
59,17.1915
60,17.2201
61,17.3064
62,17.3353
63,17.3118
64,17.2540
65,17.2555
66,17.1960
67,17.1946
68,17.2291
69,17.2920
70,17.3289
71,17.3678
72,17.3992
73,17.4932
74,17.6016
75,17.6532
76,17.7200
77,17.7879
78,17.8791
79,17.9711
80,17.9704
81,17.9833
82,18.0136
83,18.0653
84,18.0596
85,18.0801
86,18.0799
87,18.0847
88,18.0748
89,18.0595
90,18.0041
91,17.9273
92,17.8486
93,17.8728
94,17.7985
95,17.6766
96,17.5621
97,17.5490
98,17.5331
99,17.4986
100,17.5133
101,17.4809
102,17.5044
103,17.4813
104,17.4537
105,17.4242
106,17.3845
107,17.2829
108,17.2662
109,17.1987
110,17.1111
111,17.0381
112,17.0048
113,16.9722
114,16.8932
115,16.7902
116,16.7484
117,16.6985
118,16.6221
119,16.5004
120,16.4663
121,16.4000
122,16.3538
123,16.2736
124,16.1562
125,16.0068
126,15.8842
127,15.9167
128,15.8249
129,15.8498
130,15.7559
131,15.7130
132,15.6434
133,15.5910
134,15.5312
135,15.4578
136,15.3946
137,15.2884
138,15.2140
139,15.1019
140,14.9769
141,14.9520
142,14.9075
143,14.7703
144,14.5821
145,14.4682
146,14.5267
147,14.5062
148,14.4932
149,14.4460
150,14.3573
151,14.2073
152,14.1908
153,14.1774
154,14.1453
155,14.0998
156,13.9991
157,13.8739
158,13.8244
159,13.8131
160,13.7938
161,13.7470
162,13.6700
163,13.6228
164,13.5625
165,13.4599
166,13.3944
167,13.3607
168,13.3324
169,13.2464
170,13.1938
171,13.1324
172,13.1168
173,13.0299
174,12.9892
175,12.8999
176,12.8033
177,12.6504
178,12.6195
179,12.6340
180,12.6007
181,12.5976
182,12.5413
183,12.4992
184,12.4537
185,12.3868
186,12.2614
187,12.2379
188,12.2346
189,12.1761
190,12.1397
191,12.0576
192,12.0466
193,12.0014
194,11.9713
195,11.9037
196,11.8585
197,11.8360
198,11.7520
199,11.7290
200,11.7011
201,11.7656
202,11.6872
203,11.6389
204,11.5432
205,11.5189
206,11.3983
207,11.3400
208,11.3013
209,11.2592
210,11.2190
211,11.1865
212,11.1339
213,11.0458
214,11.0245
215,10.9741
216,10.9556
217,10.9103
218,10.8869
219,10.8460
220,10.8395
221,10.7698
222,10.7604
223,10.7284
224,10.6674
225,10.6465
226,10.5826
227,10.5385
228,10.5007
229,10.4477
230,10.4020
231,10.3536
232,10.3263
233,10.3259
234,10.2996
235,10.2581
236,10.2068
237,10.1614
238,10.1285
239,10.1159
240,10.0557
241,10.0416
242,9.9902
243,9.9648
244,9.8801
245,9.6368
246,9.5116
247,9.5991
248,9.6594
249,9.5996
250,9.4159
251,9.4186
252,9.4731
253,9.4641
254,9.4662
255,9.4078
256,9.3600
257,9.2995
258,9.1980
259,9.1110
260,9.0202
261,8.8807
262,8.7794
263,8.6321
264,8.5435
265,8.4858
266,8.3698
267,8.4183
268,8.4532
269,8.4728
270,8.5199
271,8.5873
272,8.6474
273,8.7065
274,8.7513
275,8.7747
276,8.7709
277,8.7770
278,8.8110
279,8.7961
280,8.8236
281,8.8132
282,8.8155
283,8.8020
284,8.7944
285,8.7818
286,8.7693
287,8.7317
288,8.7194
289,8.6978
290,8.6763
291,8.6867
292,8.6695
293,8.6251
294,8.6196
295,8.5885
296,8.5846
297,8.5564
298,8.5467
299,8.5154
300,8.5130
301,8.4759
302,8.4679
303,8.4644
304,8.4064
305,8.4086
306,8.3970
307,8.4027
308,8.3652
309,8.3445
310,8.3225
311,8.2985
312,8.2851
313,8.2684
314,8.2144
315,8.2192
316,8.2308
317,8.2303
318,8.2324
319,8.1983
320,8.1641
321,8.1244
322,8.1334
323,8.0893
324,8.0285
325,8.0096
326,7.9824
327,7.9678
328,7.9530
329,7.9466
330,7.9619
331,7.9496
332,7.9063
333,7.8750
334,7.8577
335,7.8439
336,7.8498
337,7.8393
338,7.8338
339,7.8011
340,7.7939
341,7.7797
342,7.7575
343,7.7338
344,7.7097
345,7.7274
346,7.7007
347,7.6674
348,7.6564
349,7.6171
350,7.4744
351,7.2303
352,7.1167
353,7.2283
354,7.3696
355,7.4067
356,7.4685
357,7.4740
358,7.4745
359,7.4633
360,7.4479
361,7.4425
362,7.4574
363,7.4456
364,7.4154
365,7.4148
366,7.3955
367,7.4071
368,7.3732
369,7.3521
370,7.3436
371,7.3104
372,7.3113
373,7.2956
374,7.2735
375,7.2753
376,7.2706
377,7.2566
378,7.2281
379,7.2225
380,7.1927
381,7.1702
382,7.1033
383,7.0579
384,7.0636
385,7.0913
386,7.1105
387,7.0940
388,7.0892
389,7.0701
390,7.0622
391,7.0549
392,7.0462
393,7.0426
394,7.0113
395,7.0233
396,6.9845
397,6.9943
398,6.9818
399,6.9715
400,6.9347
401,6.9616
402,6.9336
403,6.9140
404,6.9048
405,6.9092
406,6.9073
407,6.8926
408,6.8762
409,6.8565
410,6.8526
411,6.8541
412,6.8175
413,6.8011
414,6.7799
415,6.7712
416,6.7625
417,6.7384
418,6.7688
419,6.7508
420,6.7155
421,6.7589
422,6.7615
423,6.7351
424,6.7230
425,6.6805
426,6.6648
427,6.6582
428,6.6521
429,6.6439
430,6.6394
431,6.5981
432,6.5890
433,6.5961
434,6.5960
435,6.5806
436,6.6060
437,6.6339
438,6.6300
439,6.5769
440,6.5512
441,6.5126
442,6.5346
443,6.4972
444,6.4609
445,6.4511
446,6.4214
447,6.2904
448,6.0427
449,5.9383
450,5.9380
451,6.0313
452,6.1447
453,6.2326
454,6.3075
455,6.2776
456,6.3179
457,6.3151
458,6.3316
459,6.2921
460,6.3233
461,6.3090
462,6.3031
463,6.2974
464,6.3079
465,6.2849
466,6.2754
467,6.2787
468,6.2697
469,6.2425
470,6.2315
471,6.2013
472,6.1679
473,6.1774
474,6.1814
475,6.2015
476,6.1752
477,6.1403
478,6.1056
479,6.1366
480,6.1496
481,6.1232
482,6.1375
483,6.1162
484,6.1131
485,6.1328
486,6.0928
487,6.1255
488,6.1389
489,6.1335
490,6.1222
491,6.1074
492,6.0398
493,5.9862
494,5.9705
495,5.9835
496,5.9925
497,5.9948
498,5.9900
499,5.9848
500,5.9991
501,5.9887
502,5.9838
503,5.9631
504,5.9627
505,5.9391
506,5.9414
507,5.9191
508,5.9116
509,5.8864
510,5.8679
511,5.9036
512,5.8749
513,5.8647
514,5.8465
515,5.8257
516,5.8060
517,5.7499
518,5.6109
519,5.3398
520,5.1196
521,5.1324
522,5.2975
523,5.4422
524,5.5636
525,5.5973
526,5.6533
527,5.6628
528,5.6730
529,5.6951
530,5.7004
531,5.6844
532,5.6730
533,5.6357
534,5.5102
535,5.5048
536,5.5379
537,5.6013
538,5.6315
539,5.6255
540,5.6383
541,5.6599
542,5.6681
543,5.6546
544,5.6555
545,5.6794
546,5.6369
547,5.6301
548,5.6604
549,5.6637
550,5.6820
551,5.6784
552,5.6390
553,5.6335
554,5.5951
555,5.6088
556,5.5969
557,5.5779
558,5.5712
559,5.5756
560,5.5655
561,5.5541
562,5.5497
563,5.5399
564,5.5442
565,5.5216
566,5.5236
567,5.5214
568,5.5037
569,5.4929
570,5.5033
571,5.4740
572,5.4829
573,5.5014
574,5.4865
575,5.4668
576,5.4504
577,5.4538
578,5.4544
579,5.4485
580,5.4635
581,5.4342
582,5.4265
583,5.4322
584,5.4442
585,5.4507
586,5.4204
587,5.4027
588,5.3965
589,5.3900
590,5.3976
591,5.3738
592,5.3810
593,5.3858
594,5.3806
595,5.3541
596,5.3862
597,5.3759
598,5.3442
599,5.3221
600,5.3211
601,5.2840
602,5.1584
603,5.0665
604,5.0447
605,5.1093
606,5.1569
607,5.1992
608,5.2014
609,5.2310
610,5.2409
611,5.2423
612,5.2409
613,5.2371
614,5.2463
615,5.2407
616,5.2184
617,5.2053
618,5.1753
619,5.1948
620,5.2045
621,5.1918
622,5.1931
623,5.2099
624,5.2016
625,5.1832
626,5.1804
627,5.1835
628,5.1797
629,5.1884
630,5.1756
631,5.1842
632,5.1770
633,5.1523
634,5.1661
635,5.1798
636,5.1471
637,5.1346
638,5.1505
639,5.1521
640,5.1544
641,5.1353
642,5.1452
643,5.1181
644,5.1031
645,5.1431
646,5.1241
647,5.1143
648,5.0901
649,5.0773
650,5.0757
651,5.0832
652,5.0718
653,5.0753
654,5.0440
655,5.0455
656,5.0459
657,5.0594
658,5.0458
659,5.0471
660,5.0422
661,5.0596
662,5.0231
663,5.0122
664,4.9942
665,5.0180
666,5.0020
667,5.0085
668,5.0371
669,5.0061
670,5.0018
671,5.0071
672,5.0207
673,5.0350
674,5.0352
675,4.9971
676,4.9924
677,4.9565
678,4.9570
679,4.9678
680,4.9572
681,4.9411
682,4.9530
683,4.9605
684,4.9471
685,4.9392
686,4.9537
687,4.9452
688,4.9245
689,4.9292
690,4.9341
691,4.9070
692,4.8986
693,4.8992
694,4.9040
695,4.8923
696,4.8897
697,4.8838
698,4.8978
699,4.8698
700,4.8727
701,4.8609
702,4.8626
703,4.8740
704,4.8616
705,4.8658
706,4.8676
707,4.8856
708,4.8433
709,4.8327
710,4.8576
711,4.8410
712,4.8341
713,4.8507
714,4.8666
715,4.8731
716,4.8781
